name,Start.day,Species,Voltinism,Initial.num.f,Initial.num.m,Initial.stage,Initial.age,RndSeed,MultiYearInput,List.input.floral,Num.repeat.yr,input.floral,stoch.crop.forag,Density.dep,DD.thresh.s,DD.max.cells.s,DD.funct,DD.log.slope,day.emerge.f,var.emerge.f,day.emerge.m,var.emerge.m,latest.emerge,dev.egg,dev.larva,dev.cocoon,t.maturation,m.life,max.nesting.life,p.max.nesting.life,max.f.ratio,max.cells,max.survival.e.f,max.survival.e.m,emerged.survival,a.cell.age,a.sex.age,a.size.age,a.cell.resource,a.sex.resource,a.size.resource,Effects,ad.nectar.cons,ad.pollen.cons,k_CA,Transfer.mat.adult,ad.ET,TC_soil,TC_leaf,Exposure.resting.soil,GUTS,t.guts,kd_SD,bw_SD,mw_SD,kd_IT,mw_IT,Fs_IT,nectar_prop,weight.prov,Transfer.mat.dev,SM,F,SA_i,dr.intercept,dr.slope
2887,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,2,14,26,0.040742989,0.477261107,0.931494613,0.896870692,0.896870692,0.516532658,-0.006528133,-0.0415524,-0.003154841,0.881968602,0.408827327,0.114173408,TRUE,189.4261946,11.10306397,0.4,TRUE,0.76210841,0.471945329,0,FALSE,GUTS-SD,10,0.369957835,0.014014654,11.8424675,0,0,0,0.648614797,294.014136,TRUE,0,0,0,1.124141607,-0.750087301
2888,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,2,14,29,0.041164089,0.559971076,0.925534461,0.938028379,0.938028379,0.519886608,-0.006046474,-0.038258771,-0.003243595,0.922666299,0.401569896,0.120400521,TRUE,200.7619378,10.59625332,0.4,TRUE,0.727014201,0.534466132,0,FALSE,GUTS-SD,10,0.410613884,0.014977223,12.08731031,0,0,0,0.689863286,292.6122581,TRUE,0,0,0,1.216455059,-0.711348036
2889,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,7,175,8,365,2,6,20,1,14,25,0.038449053,0.535123088,0.973470322,0.911214388,0.911214388,0.528690004,-0.006078434,-0.043234336,-0.002740776,0.89183226,0.44396138,0.104366563,TRUE,191.7011903,10.99943884,0.4,TRUE,0.747080488,0.484427444,0,FALSE,GUTS-SD,10,0.357753973,0.014893928,13.67896207,0,0,0,0.703909119,295.8530275,TRUE,0,0,0,1.167315564,-0.764895509
2890,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,1,14,29,0.038615084,0.545309669,1.050413976,0.949926851,0.949926851,0.54003504,-0.006417402,-0.038209961,-0.003257218,0.860769431,0.39385863,0.103506983,TRUE,190.0606254,11.24925097,0.4,TRUE,0.687732844,0.507631406,0,FALSE,GUTS-SD,10,0.420721359,0.013645091,13.98783053,0,0,0,0.690597101,269.393724,TRUE,0,0,0,1.23375556,-0.829938417
2891,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,2,14,24,0.036900575,0.527860445,0.90845351,0.870481036,0.870481036,0.594560266,-0.006434241,-0.042313512,-0.002909759,0.934695675,0.381742772,0.12078722,TRUE,228.3128737,11.04519795,0.4,TRUE,0.81828052,0.528937685,0,FALSE,GUTS-SD,10,0.383868288,0.013119088,11.78618425,0,0,0,0.62836444,271.2766864,TRUE,0,0,0,1.209748688,-0.797858852
2892,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,2,14,29,0.043461473,0.549070314,1.075601157,0.822649776,0.822649776,0.517209582,-0.005535484,-0.041479751,-0.003271084,1.022297412,0.45388519,0.115669233,TRUE,207.1490099,10.52600539,0.4,TRUE,0.728020205,0.484088756,0,FALSE,GUTS-SD,10,0.35963663,0.013203567,12.55108641,0,0,0,0.726676207,253.3808613,TRUE,0,0,0,1.24514613,-0.823271505
2893,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,2,14,24,0.043718173,0.467619805,1.077886324,0.912953714,0.912953714,0.518870836,-0.005561271,-0.040934737,-0.003154434,0.888734709,0.412923233,0.112889433,TRUE,214.14675,12.75706464,0.4,TRUE,0.719821194,0.532241272,0,FALSE,GUTS-SD,10,0.411634186,0.014409241,12.51927666,0,0,0,0.626382476,263.4610406,TRUE,0,0,0,1.169373037,-0.743831163
2894,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,2,14,26,0.042781409,0.528296078,1.090158949,0.910444252,0.910444252,0.514454802,-0.005642295,-0.043664595,-0.002785736,0.972639207,0.417205039,0.114386554,TRUE,190.3119787,11.62287951,0.4,TRUE,0.683952189,0.530764718,0,FALSE,GUTS-SD,10,0.35320607,0.0127696,11.72140637,0,0,0,0.606975377,265.5989937,TRUE,0,0,0,1.226121076,-0.817940179
2895,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,1,14,29,0.037429078,0.490159405,1.039931637,0.785069846,0.785069846,0.585951617,-0.006422684,-0.038618489,-0.002938149,0.94226926,0.436758866,0.112472943,TRUE,190.2728572,12.48564281,0.4,TRUE,0.802086873,0.493367128,0,FALSE,GUTS-SD,10,0.357223178,0.014496661,13.54181187,0,0,0,0.715608327,278.6089225,TRUE,0,0,0,1.261627471,-0.765016774
2896,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,7,175,8,365,2,6,20,1,14,27,0.040484317,0.537367446,0.935026178,0.870473253,0.870473253,0.570957691,-0.006298974,-0.043218246,-0.002936462,0.869201303,0.412351853,0.123280016,TRUE,199.987786,11.47658186,0.4,TRUE,0.731546161,0.46134336,0,FALSE,GUTS-SD,10,0.38159939,0.014375642,14.06411097,0,0,0,0.629888455,289.1890881,TRUE,0,0,0,1.255511809,-0.789736381
2897,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,7,175,8,365,2,6,20,2,14,28,0.036250762,0.504146174,0.904764602,0.899873615,0.899873615,0.573204651,-0.006209433,-0.038798264,-0.00278503,0.924475954,0.450015808,0.113421139,TRUE,212.5359762,11.3089541,0.4,TRUE,0.781279706,0.514648632,0,FALSE,GUTS-SD,10,0.375340438,0.014382803,11.88386253,0,0,0,0.713333313,291.1419415,TRUE,0,0,0,1.212306203,-0.767756414
2898,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,7,175,8,365,2,6,20,1,14,27,0.037369971,0.494253033,1.016878096,0.914859393,0.914859393,0.559931239,-0.006339017,-0.040821538,-0.003202284,0.847131475,0.450691179,0.123153108,TRUE,216.6731498,10.95478799,0.4,TRUE,0.722141866,0.452767131,0,FALSE,GUTS-SD,10,0.372674675,0.012981256,11.83947385,0,0,0,0.650184731,260.4395923,TRUE,0,0,0,1.172923542,-0.735094863
2899,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,7,175,8,365,2,6,20,1,14,23,0.041359751,0.513284032,0.915226597,0.816667429,0.816667429,0.523391765,-0.006521702,-0.042894252,-0.003242276,0.866530987,0.384736515,0.109849113,TRUE,191.9306066,12.03514292,0.4,TRUE,0.738596919,0.510006848,0,FALSE,GUTS-SD,10,0.399194071,0.015143146,11.82346662,0,0,0,0.704378216,271.0551534,TRUE,0,0,0,1.235411161,-0.84787934
2900,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,7,175,8,365,2,6,20,1,14,24,0.039692781,0.478511117,1.005803551,0.810373086,0.810373086,0.520758319,-0.00567639,-0.039612806,-0.003094241,0.989584289,0.389830577,0.115018584,TRUE,196.23646,11.65162672,0.4,TRUE,0.734369333,0.543691819,0,FALSE,GUTS-SD,10,0.36554024,0.014923785,12.10977801,0,0,0,0.685413522,292.4151729,TRUE,0,0,0,1.21476383,-0.85691645
2901,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,1,14,23,0.036241036,0.511591174,1.093851353,0.891200671,0.891200671,0.588251604,-0.005810071,-0.038654797,-0.003161348,0.891669236,0.422345058,0.116000728,TRUE,189.8933932,11.25895043,0.4,TRUE,0.754673373,0.454690037,0,FALSE,GUTS-SD,10,0.359677008,0.013130048,12.27390066,0,0,0,0.665362057,243.8661937,TRUE,0,0,0,1.212987416,-0.746798374
2902,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,7,175,8,365,2,6,20,1,14,23,0.042087931,0.5253964,1.027807081,0.85511074,0.85511074,0.503087766,-0.006266048,-0.037018224,-0.003204866,0.958578643,0.404798921,0.108826119,TRUE,226.5004126,11.29512682,0.4,TRUE,0.770206123,0.517886713,0,FALSE,GUTS-SD,10,0.380487962,0.014794151,13.0291037,0,0,0,0.62139595,251.5857475,TRUE,0,0,0,1.106494638,-0.835309247
2903,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,2,14,28,0.040644605,0.534814737,0.906937049,0.913569638,0.913569638,0.562181365,-0.006493686,-0.038788503,-0.003278914,0.897469424,0.460856847,0.124689948,TRUE,212.4972425,10.94501328,0.4,TRUE,0.71180655,0.52360318,0,FALSE,GUTS-SD,10,0.379636585,0.013094771,12.74337742,0,0,0,0.63960097,265.6769088,TRUE,0,0,0,1.264054636,-0.814368385
2904,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,1,14,27,0.037475521,0.490199109,0.906396267,0.806603594,0.806603594,0.539903144,-0.005642046,-0.042811253,-0.003008895,1.0325924,0.402660852,0.11370703,TRUE,221.3634629,12.49562619,0.4,TRUE,0.782918978,0.540966404,0,FALSE,GUTS-SD,10,0.409756006,0.014300103,13.55092988,0,0,0,0.610775398,256.2246893,TRUE,0,0,0,1.053597203,-0.76512755
