"doy","Prop_foraging_day","Quality_crop","Quality_nat","Prop_foraging_crop","Concentration_nectar","Concentration_pollen","Concentration_spray","Concentration.nest.mat","Concentration.leaf"
266,1,1,0,1,0,0,0,2.35133333333333e-12,0
267,1,1,0,1,0,0,0,2.026e-12,0
268,1,1,0,1,0,0,0,1.76733333333333e-12,0
269,1,1,0,1,0,0,0,1.58866666666667e-12,0
270,1,1,0,1,0,0,0,1.446e-12,0
271,1,1,0,1,0,0,0,1.30866666666667e-12,0
272,1,1,0,1,0,0,0,1.16333333333333e-12,0
273,1,1,0,1,0,0,0,1.03666666666667e-12,0
274,1,1,0,1,0,0,0,9.34e-13,0
275,1,1,0,1,0,0,0,8.5e-13,0
276,1,1,0,1,0,0,0,7.72e-13,0
277,1,1,0,1,0,0,0,7.05333333333333e-13,0
278,1,1,0,1,0,0,0,6.418e-13,0
279,1,1,0,1,0,0,0,5.842e-13,0
280,1,1,0,1,0,0,0,5.50666666666667e-13,0
281,1,1,0,1,0,0,0,5.188e-13,0
282,1,1,0,1,0,0,0,4.848e-13,0
283,1,1,0,1,0,0,0,4.632e-13,0
284,1,1,0,1,0,0,0,4.412e-13,0
285,1,1,0,1,0,0,0,4.20333333333333e-13,0
286,1,1,0,1,0,0,0,4.004e-13,0
287,1,1,0,1,0,0,0,3.84e-13,0
288,1,1,0,1,0,0,0,3.67e-13,0
289,1,1,0,1,0,0,0,3.48466666666667e-13,0
290,1,1,0,1,0,0,0,3.28466666666667e-13,0
291,1,1,0,1,0,0,0,3.05333333333333e-13,0
292,1,1,0,1,0,0,0,2.86866666666667e-13,0
293,1,1,0,1,0,0,0,2.738e-13,0
294,1,1,0,1,0,0,0,2.66333333333333e-13,0
295,1,1,0,1,0,0,0,2.55866666666667e-13,0
296,1,1,0,1,0,0,0,2.37e-13,0
297,1,1,0,1,0,0,0,2.19266666666667e-13,0
298,1,1,0,1,0,0,0,2.066e-13,0
299,1,1,0,1,0,0,0,1.96933333333333e-13,0
300,1,1,0,1,0,0,0,1.87333333333333e-13,0
301,1,1,0,1,0,0,0,1.78866666666667e-13,0
302,1,1,0,1,0,0,0,1.67333333333333e-13,0
303,1,1,0,1,0,0,0,1.53133333333333e-13,0
304,1,1,0,1,0,0,0,1.43133333333333e-13,0
305,1,1,0,1,0,0,0,1.35466666666667e-13,0
306,1,1,0,1,0,0,0,1.29333333333333e-13,0
