"doy","Prop_foraging_day","Quality_crop","Quality_nat","Prop_foraging_crop","Concentration_nectar","Concentration_pollen","Concentration_spray","Concentration.nest.mat","Concentration.leaf"
312,1,1,0,1,0,0,0,5.38466666666667e-15,0
313,1,1,0,1,0,0,0,5.31266666666667e-15,0
314,1,1,0,1,0,0,0,5.24e-15,0
315,1,1,0,1,0,0,0,4.26466666666667e-15,0
316,1,1,0,1,0,0,0,3.86666666666667e-15,0
317,1,1,0,1,0,0,0,5.92666666666667e-15,0
318,1,1,0,1,0,0,0,0,0
319,1,1,0,1,0,0,0,0,0
320,1,1,0,1,0,0,0,4.084e-15,0
321,1,1,0,1,0,0,0,2.34933333333333e-15,0
322,1,1,0,1,0,0,0,0,0
323,1,1,0,1,0,0,0,3.21666666666667e-15,0
324,1,1,0,1,0,0,0,1.518e-15,0
325,1,1,0,1,0,0,0,2.24066666666667e-15,0
326,1,1,0,1,0,0,0,0,0
327,1,1,0,1,0,0,0,0,0
328,1,1,0,1,0,0,0,0,0
329,1,1,0,1,0,0,0,9.76e-16,0
330,1,1,0,1,0,0,0,1.15666666666667e-15,0
331,1,1,0,1,0,0,0,0,0
332,1,1,0,1,0,0,0,1.22866666666667e-15,0
333,1,1,0,1,0,0,0,1.012e-15,0
334,1,1,0,1,0,0,0,1.084e-15,0
335,1,1,0,1,0,0,0,1.482e-15,0
336,1,1,0,1,0,0,0,0,0
337,1,1,0,1,0,0,0,1.95133333333333e-15,0
338,1,1,0,1,0,0,0,0,0
339,1,1,0,1,0,0,0,0,0
340,1,1,0,1,0,0,0,9.76e-16,0
341,1,1,0,1,0,0,0,1.012e-15,0
342,1,1,0,1,0,0,0,8.67333333333333e-16,0
343,1,1,0,1,0,0,0,1.15666666666667e-15,0
344,1,1,0,1,0,0,0,0,0
345,1,1,0,1,0,0,0,0,0
346,1,1,0,1,0,0,0,7.58666666666667e-16,0
347,1,1,0,1,0,0,0,8.67333333333333e-16,0
348,1,1,0,1,0,0,0,0,0
349,1,1,0,1,0,0,0,6.144e-16,0
350,1,1,0,1,0,0,0,0,0
351,1,1,0,1,0,0,0,0,0
352,1,1,0,1,0,0,0,0,0
353,1,1,0,1,0,0,0,4.698e-16,0
354,1,1,0,1,0,0,0,5.05933333333333e-16,0
355,1,1,0,1,0,0,0,5.78266666666667e-16,0
356,1,1,0,1,0,0,0,0,0
357,1,1,0,1,0,0,0,0,0
358,1,1,0,1,0,0,0,4.698e-16,0
359,1,1,0,1,0,0,0,0,0
360,1,1,0,1,0,0,0,0,0
361,1,1,0,1,0,0,0,3.614e-16,0
362,1,1,0,1,0,0,0,0,0
363,1,1,0,1,0,0,0,0,0
364,1,1,0,1,0,0,0,0,0
365,1,1,0,1,0,0,0,0,0
