date,treatment,tray,tube.1,tube.2,tube.3,tube.4,tube.5,tube.6,tube.7,tube.8,tube.9,tube.10,sum.cells
2015-05-02T00:00:00Z,Csb,7,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csb,8,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csb,9,1,0,0,0,0,0,0,0,0,0,1
2015-05-02T00:00:00Z,Csb,10,0,0,0,0,0,0,0,0,0,0,0
2015-05-05T00:00:00Z,Csb,1,0,0,0,0,0,0,0,0,0,0,0
2015-05-05T00:00:00Z,Csb,2,4,0,0,1,0,0,1,1,0,0,7
2015-05-05T00:00:00Z,Csb,3,0,0,0,0,0,0,0,0,0,0,0
2015-05-05T00:00:00Z,Csb,4,0,0,0,1,2,1,0,1,1,1,7
2015-05-05T00:00:00Z,Csb,5,0,0,0,0,1,0,1,0,0,0,2
2015-05-05T00:00:00Z,Csb,6,0,0,0,0,0,0,0,0,0,0,0
2015-05-05T00:00:00Z,Csb,7,0,0,0,0,0,0,0,0,0,0,0
2015-05-05T00:00:00Z,Csb,8,0,0,0,0,0,0,0,0,0,0,0
2015-05-05T00:00:00Z,Csb,9,2,0,0,0,0,1,0,1,0,0,4
2015-05-05T00:00:00Z,Csb,10,0,0,0,0,1,0,0,0,0,0,1
2015-05-08T00:00:00Z,Csb,1,0,0,0,0,0,0,0,0,0,0,0
2015-05-08T00:00:00Z,Csb,2,1,0,2,1,0,1,0,0,0,2,7
2015-05-08T00:00:00Z,Csb,3,0,0,1,0,0,0,0,0,0,0,1
2015-05-08T00:00:00Z,Csb,4,0,0,0,1,0,2,2,0,0,0,5
2015-05-08T00:00:00Z,Csb,5,1,0,0,0,0,1,0,0,0,0,2
2015-05-08T00:00:00Z,Csb,6,0,0,0,0,0,0,0,0,0,0,0
2015-05-08T00:00:00Z,Csb,7,0,0,0,0,0,0,0,0,0,0,0
2015-05-08T00:00:00Z,Csb,8,0,0,0,0,0,0,0,0,0,3,3
2015-05-08T00:00:00Z,Csb,9,2,1,0,0,0,2,1,2,4,0,12
2015-05-08T00:00:00Z,Csb,10,0,0,0,0,1,0,0,0,0,0,1
2015-05-11T00:00:00Z,Csb,1,0,1,0,2,3,0,0,0,0,4,10
2015-05-11T00:00:00Z,Csb,2,0,0,0,0,1,0,0,1,0,3,5
2015-05-11T00:00:00Z,Csb,3,0,0,3,1,0,1,0,0,0,0,5
2015-05-11T00:00:00Z,Csb,4,1,0,3,2,0,1,2,2,1,3,15
2015-05-11T00:00:00Z,Csb,5,4,4,0,1,1,1,2,0,0,0,13
2015-05-11T00:00:00Z,Csb,6,0,0,0,0,0,0,0,0,0,0,0
2015-05-11T00:00:00Z,Csb,7,0,0,0,1,0,0,0,0,0,3,4
2015-05-11T00:00:00Z,Csb,8,0,0,0,1,0,1,1,6,4,6,19
