date,treatment,tray,female,male
2015-05-17T00:00:00Z,Csd,3,5,0
2015-05-17T00:00:00Z,Csd,4,2,0
2015-05-17T00:00:00Z,Csd,5,1,1
2015-05-17T00:00:00Z,Csd,6,0,0
2015-05-17T00:00:00Z,Csd,7,4,0
2015-05-17T00:00:00Z,Csd,8,0,0
2015-05-17T00:00:00Z,Csd,9,1,0
2015-05-17T00:00:00Z,Csd,10,1,0
2015-05-20T00:00:00Z,Csd,1,0,0
2015-05-20T00:00:00Z,Csd,2,1,0
2015-05-20T00:00:00Z,Csd,3,1,0
2015-05-20T00:00:00Z,Csd,4,1,0
2015-05-20T00:00:00Z,Csd,5,1,0
2015-05-20T00:00:00Z,Csd,6,0,1
2015-05-20T00:00:00Z,Csd,7,1,0
2015-05-20T00:00:00Z,Csd,8,0,0
2015-05-20T00:00:00Z,Csd,9,0,0
2015-05-20T00:00:00Z,Csd,10,1,0
2015-05-23T00:00:00Z,Csd,1,0,0
2015-05-23T00:00:00Z,Csd,2,1,0
2015-05-23T00:00:00Z,Csd,3,0,0
2015-05-23T00:00:00Z,Csd,4,0,0
2015-05-23T00:00:00Z,Csd,5,1,0
2015-05-23T00:00:00Z,Csd,6,1,0
2015-05-23T00:00:00Z,Csd,7,0,0
2015-05-23T00:00:00Z,Csd,8,0,0
2015-05-23T00:00:00Z,Csd,9,0,0
2015-05-23T00:00:00Z,Csd,10,1,0
2015-05-26T00:00:00Z,Csd,1,0,0
2015-05-26T00:00:00Z,Csd,2,0,0
2015-05-26T00:00:00Z,Csd,3,0,0
2015-05-26T00:00:00Z,Csd,4,1,0
2015-05-26T00:00:00Z,Csd,5,1,0
2015-05-26T00:00:00Z,Csd,6,0,0
2015-05-26T00:00:00Z,Csd,7,0,0
2015-05-26T00:00:00Z,Csd,8,1,0
2015-05-26T00:00:00Z,Csd,9,0,0
2015-05-26T00:00:00Z,Csd,10,0,0
