"Date","DAE","treatment","sum.cells"
"15 May 2014","30DAE","Ce",31
"18 May 2014","33DAE","Ce",34
"21 May 2014","36DAE","Ce",43
"24 May 2014","39DAE","Ce",52
"27 May 2014","42DAE","Ce",52
"30 May 2014","45DAE","Ce",53
"02 Jun 2014","48DAE","Ce",57
"05 Jun 2014","51DAE","Ce",58
"14 Apr 2014","-1DAE","Cf",0
"18 Apr 2014","3DAE","Cf",0
"21 Apr 2014","6DAE","Cf",0
"24 Apr 2014","9DAE","Cf",11
"27 Apr 2014","12DAE","Cf",42
"30 Apr 2014","15DAE","Cf",61
"03 May 2014","18DAE","Cf",55
"06 May 2014","21DAE","Cf",79
"09 May 2014","24DAE","Cf",84
"12 May 2014","27DAE","Cf",99
"15 May 2014","30DAE","Cf",101
"18 May 2014","33DAE","Cf",109
"21 May 2014","36DAE","Cf",125
"24 May 2014","39DAE","Cf",133
"27 May 2014","42DAE","Cf",136
"30 May 2014","45DAE","Cf",133
"02 Jun 2014","48DAE","Cf",135
"05 Jun 2014","51DAE","Cf",135
"14 Apr 2014","-1DAE","Cg",0
"18 Apr 2014","3DAE","Cg",0
"21 Apr 2014","6DAE","Cg",2
"24 Apr 2014","9DAE","Cg",41
"27 Apr 2014","12DAE","Cg",149
"30 Apr 2014","15DAE","Cg",177
"03 May 2014","18DAE","Cg",172
"06 May 2014","21DAE","Cg",253
"09 May 2014","24DAE","Cg",330
"12 May 2014","27DAE","Cg",384
"15 May 2014","30DAE","Cg",397
"18 May 2014","33DAE","Cg",437
"21 May 2014","36DAE","Cg",570
"24 May 2014","39DAE","Cg",673
"27 May 2014","42DAE","Cg",737
"30 May 2014","45DAE","Cg",748
"02 Jun 2014","48DAE","Cg",783
"05 Jun 2014","51DAE","Cg",797
"14 Apr 2014","-1DAE","Ch",0
"18 Apr 2014","3DAE","Ch",0
"21 Apr 2014","6DAE","Ch",0
"24 Apr 2014","9DAE","Ch",3
"27 Apr 2014","12DAE","Ch",27
"30 Apr 2014","15DAE","Ch",29
"03 May 2014","18DAE","Ch",29
"06 May 2014","21DAE","Ch",52
"09 May 2014","24DAE","Ch",61
"12 May 2014","27DAE","Ch",69
"15 May 2014","30DAE","Ch",70
"18 May 2014","33DAE","Ch",79
"21 May 2014","36DAE","Ch",91
"24 May 2014","39DAE","Ch",92
"27 May 2014","42DAE","Ch",122
"30 May 2014","45DAE","Ch",125
"02 Jun 2014","48DAE","Ch",133
"05 Jun 2014","51DAE","Ch",141
